Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM,Weighted Average
Application,henrysky/astroNN,astroNN/shared/nn_tools.py,Data Conf,Prediction,0.1178918553183166,0.952780935685006,-0.4922501253285668,-0.6101740472427172,-0.4027136968338298,-0.5513711897033909,-0.3763255582385479,-0.19459454662053285
Application,araffin/srl-zoo,models/models.py,Layer Conf,Training,-0.3402022110614279,-0.3112216159044789,-0.5365173867518193,-0.245667949207914,-0.4656468168715285,-0.2010883162447661,0.00422837705886,-0.29944513128329636
Application,maximecb/gym-miniworld,gym_miniworld/miniworld.py,Data Conf,Data Pre,-0.0774717906377509,-0.3533550342907951,-0.5060221622158009,0.7658364728386646,0.314723871595936,0.660214883343911,-0.2241039841195847,0.0828317509306543
Application,drivendataorg/zamba,zamba/models/cnnensemble/src/single_frame_cnn.py,MDepend,Data Pre,-0.1178918553183166,-0.3164882932027684,-0.4794618053618494,0.6629936808931309,0.6168028477768901,0.9426063669755628,-0.3002147711790663,0.14404945294051189
Application,WMD-group/SMACT,smact/builder.py,MLKnow,Data Pre,-0.3873589531887545,-0.3533550342907951,-0.6368565126445249,-0.6049668172707915,-0.4341802568526792,-0.4790760340498036,-0.3002147711790663,-0.4565726256394879
Application,hackingmaterials/automatminer,matbench/preprocess.py,MLKnow,Data Pre,-0.4143056629757983,-0.3375550023959265,-0.502087294533734,-0.6075704322567543,-0.4656468168715285,-0.5682522920387463,-0.3763255582385479,-0.46739186561586227
Application,hackingmaterials/automatminer,matbench/pipeline.py,DS Configuration,Training,0.2660987591470574,-0.1163545558677666,-0.4607711838720317,-0.7273367216110468,-0.7236726090260934,-0.7486232006871634,0.00422837705886,-0.3580615906940263
Application,nengo/nengo-dl,nengo_dl/tensor_graph.py,DS Configuration,Other,-0.6500893736124315,-0.332288325097637,-0.3348554180458912,0.6747099483299639,1.1391477440897897,0.765905263182658,1.0697793958916026,0.3331870335340078
Application,NRCan/geo-deep-learning,utils/layersmodules.py,Layer Conf,Training,-0.3671489208484716,-0.342821679694216,-0.4833966730439163,-0.7650891389075085,-0.7299659210298634,-0.714677505773677,-0.6046579194169928,-0.5725368226735208
Application,ucam-smt/sgnmt,cam/sgnmt/blocks/vanilla_decoder.py,UMC ,Modeling,0.5490392119110172,-0.3164882932027684,-0.2935393073841889,-0.6726608069058263,-0.6670328009921646,-0.637611603807924,-0.3763255582385479,-0.344945594088629
